Component Id,Product Id,Component Name,Active Flag
1,1,Category 1,1
2,1,Category 2,1
3,2,Category 3,1
4,3,Category 4,1
5,4,Category 5,1
6,4,Category 6,1
7,3,Category 7,1
8,1,Category 1,1
9,1,Category 2,1
10,2,Category 3,1
11,3,Category 4,1
12,4,Category 5,1
13,4,Category 6,1
14,3,Category 7,1
15,1,Category 1,1
16,1,Category 2,1
17,2,Category 3,1
18,3,Category 4,1
19,4,Category 5,1
20,4,Category 6,1
21,3,Category 7,1
22,1,Category 1,1
23,1,Category 2,1
24,2,Category 3,1
25,3,Category 4,1
26,4,Category 5,1
27,4,Category 6,1
28,3,Category 7,1
29,1,Category 1,1
30,1,Category 2,1
31,2,Category 3,1
32,3,Category 4,1
33,4,Category 5,1
34,4,Category 6,1
35,3,Category 7,1
36,1,Category 1,1
37,1,Category 2,1
38,2,Category 3,1
39,3,Category 4,1
40,4,Category 5,1
41,4,Category 6,1
42,3,Category 7,1
43,1,Category 1,1
44,1,Category 2,1
45,2,Category 3,1
46,3,Category 4,1
47,4,Category 5,1
48,4,Category 6,1
49,3,Category 7,1
50,1,Category 1,1
51,1,Category 2,1
52,2,Category 3,1
53,3,Category 4,1
54,4,Category 5,1
55,4,Category 6,1
56,3,Category 7,1
57,1,Category 1,1
58,1,Category 2,1
59,2,Category 3,1
60,3,Category 4,1
61,4,Category 5,1
62,4,Category 6,1
63,3,Category 7,1
64,1,Category 1,1
65,1,Category 2,1
66,2,Category 3,1
67,3,Category 4,1
68,4,Category 5,1
69,4,Category 6,1
70,3,Category 7,1
71,1,Category 1,1
72,1,Category 2,1
73,2,Category 3,1
74,3,Category 4,1
75,4,Category 5,1
76,4,Category 6,1
77,3,Category 7,1
78,1,Category 1,1
79,1,Category 2,1
80,2,Category 3,1
81,3,Category 4,1
82,4,Category 5,1
83,4,Category 6,1
84,3,Category 7,1
85,1,Category 1,1
86,1,Category 2,1
87,2,Category 3,1
88,3,Category 4,1
89,4,Category 5,1
90,4,Category 6,1
91,3,Category 7,1
92,1,Category 1,1
93,1,Category 2,1
94,2,Category 3,1
95,3,Category 4,1
96,4,Category 5,1
97,4,Category 6,1
98,3,Category 7,1
99,1,Category 1,1
100,1,Category 2,1
101,2,Category 3,1
102,3,Category 4,1
103,4,Category 5,1
104,4,Category 6,1
105,3,Category 7,1
106,1,Category 1,1
107,1,Category 2,1
108,2,Category 3,1
109,3,Category 4,1
110,4,Category 5,1
111,4,Category 6,1
112,3,Category 7,1
113,1,Category 1,1
114,1,Category 2,1
115,2,Category 3,1
116,3,Category 4,1
117,4,Category 5,1
118,4,Category 6,1
119,3,Category 7,1
120,1,Category 1,1
121,1,Category 2,1
122,2,Category 3,1
123,3,Category 4,1
124,4,Category 5,1
125,4,Category 6,1
126,3,Category 7,1
127,1,Category 1,1
128,1,Category 2,1
129,2,Category 3,1
130,3,Category 4,1
131,4,Category 5,1
132,4,Category 6,1
133,3,Category 7,1
134,1,Category 1,1
135,1,Category 2,1
136,2,Category 3,1
137,3,Category 4,1
138,4,Category 5,1
139,4,Category 6,1
140,3,Category 7,1
141,1,Category 1,1
142,1,Category 2,1
143,2,Category 3,1
144,3,Category 4,1
145,4,Category 5,1
146,4,Category 6,1
147,3,Category 7,1
148,1,Category 1,1
149,1,Category 2,1
150,2,Category 3,1
151,3,Category 4,1
152,4,Category 5,1
153,4,Category 6,1
154,3,Category 7,1
155,1,Category 1,1
156,1,Category 2,1
157,2,Category 3,1
158,3,Category 4,1
159,4,Category 5,1
160,4,Category 6,1
161,3,Category 7,1
162,1,Category 1,1
163,1,Category 2,1
164,2,Category 3,1
165,3,Category 4,1
166,4,Category 5,1
167,4,Category 6,1
168,3,Category 7,1
169,1,Category 1,1
170,1,Category 2,1
171,2,Category 3,1
172,3,Category 4,1
173,4,Category 5,1
174,4,Category 6,1
175,3,Category 7,1
176,1,Category 1,1
177,1,Category 2,1
178,2,Category 3,1
179,3,Category 4,1
180,4,Category 5,1
181,4,Category 6,1
182,3,Category 7,1
183,1,Category 1,1
184,1,Category 2,1
185,2,Category 3,1
186,3,Category 4,1
187,4,Category 5,1
188,4,Category 6,1
189,3,Category 7,1
190,1,Category 1,1
191,1,Category 2,1
192,2,Category 3,1
193,3,Category 4,1
194,4,Category 5,1
195,4,Category 6,1
196,3,Category 7,1
197,1,Category 1,1
198,1,Category 2,1
199,2,Category 3,1
200,3,Category 4,1
201,4,Category 5,1
202,4,Category 6,1
203,3,Category 7,1
204,1,Category 1,1
205,1,Category 2,1
206,2,Category 3,1
207,3,Category 4,1
208,4,Category 5,1
209,4,Category 6,1
210,3,Category 7,1
211,1,Category 1,1
212,1,Category 2,1
213,2,Category 3,1
214,3,Category 4,1
215,4,Category 5,1
216,4,Category 6,1
217,3,Category 7,1
218,1,Category 1,1
219,1,Category 2,1
220,2,Category 3,1
221,3,Category 4,1
222,4,Category 5,1
223,4,Category 6,1
224,3,Category 7,1
225,1,Category 1,1
226,1,Category 2,1
227,2,Category 3,1
228,3,Category 4,1
229,4,Category 5,1
230,4,Category 6,1
231,3,Category 7,1
232,1,Category 1,1
233,1,Category 2,1
234,2,Category 3,1
235,3,Category 4,1
236,4,Category 5,1
237,4,Category 6,1
238,3,Category 7,1
239,1,Category 1,1
240,1,Category 2,1
241,2,Category 3,1
242,3,Category 4,1
243,4,Category 5,1
244,4,Category 6,1
245,3,Category 7,1
246,1,Category 1,1
247,1,Category 2,1
248,2,Category 3,1
249,3,Category 4,1
250,4,Category 5,1
251,4,Category 6,1
252,3,Category 7,1
253,1,Category 1,1
254,1,Category 2,1
255,2,Category 3,1
256,3,Category 4,1
257,4,Category 5,1
258,4,Category 6,1
259,3,Category 7,1
260,1,Category 1,1
261,1,Category 2,1
262,2,Category 3,1
263,3,Category 4,1
264,4,Category 5,1
265,4,Category 6,1
266,3,Category 7,1
267,1,Category 1,1
268,1,Category 2,1
269,2,Category 3,1
270,3,Category 4,1
271,4,Category 5,1
272,4,Category 6,1
273,3,Category 7,1
274,1,Category 1,1
275,1,Category 2,1
276,2,Category 3,1
277,3,Category 4,1
278,4,Category 5,1
279,4,Category 6,1
280,3,Category 7,1
281,1,Category 1,1
282,1,Category 2,1
283,2,Category 3,1
284,3,Category 4,1
285,4,Category 5,1
286,4,Category 6,1
287,3,Category 7,1
288,1,Category 1,1
289,1,Category 2,1
290,2,Category 3,1
291,3,Category 4,1
292,4,Category 5,1
293,4,Category 6,1
294,3,Category 7,1
295,1,Category 1,1
296,1,Category 2,1
297,2,Category 3,1
298,3,Category 4,1
299,4,Category 5,1
300,4,Category 6,1
301,3,Category 7,1
302,1,Category 1,1
303,1,Category 2,1
304,2,Category 3,1
305,3,Category 4,1
306,4,Category 5,1
307,4,Category 6,1
308,3,Category 7,1
309,1,Category 1,1
310,1,Category 2,1
311,2,Category 3,1
312,3,Category 4,1
313,4,Category 5,1
314,4,Category 6,1
315,3,Category 7,1
316,1,Category 1,1
317,1,Category 2,1
318,2,Category 3,1
319,3,Category 4,1
320,4,Category 5,1
321,4,Category 6,1
322,3,Category 7,1
323,1,Category 1,1
324,1,Category 2,1
325,2,Category 3,1
326,3,Category 4,1
327,4,Category 5,1
328,4,Category 6,1
329,3,Category 7,1
330,1,Category 1,1
331,1,Category 2,1
332,2,Category 3,1
333,3,Category 4,1
334,4,Category 5,1
335,4,Category 6,1
336,3,Category 7,1
337,1,Category 1,1
338,1,Category 2,1
339,2,Category 3,1
340,3,Category 4,1
341,4,Category 5,1
342,4,Category 6,1
343,3,Category 7,1
344,1,Category 1,1
345,1,Category 2,1
346,2,Category 3,1
347,3,Category 4,1
348,4,Category 5,1
349,4,Category 6,1
350,3,Category 7,1
351,1,Category 1,1
352,1,Category 2,1
353,2,Category 3,1
354,3,Category 4,1
355,4,Category 5,1
356,4,Category 6,1
357,3,Category 7,1
358,1,Category 1,1
359,1,Category 2,1
360,2,Category 3,1
361,3,Category 4,1
362,4,Category 5,1
363,4,Category 6,1
364,3,Category 7,1
365,1,Category 1,1
366,1,Category 2,1
367,2,Category 3,1
368,3,Category 4,1
369,4,Category 5,1
370,4,Category 6,1
371,3,Category 7,1
372,1,Category 1,1
373,1,Category 2,1
374,2,Category 3,1
375,3,Category 4,1
376,4,Category 5,1
377,4,Category 6,1
378,3,Category 7,1
379,1,Category 1,1
380,1,Category 2,1
381,2,Category 3,1
382,3,Category 4,1
383,4,Category 5,1
384,4,Category 6,1
385,3,Category 7,1
386,1,Category 1,1
387,1,Category 2,1
388,2,Category 3,1
389,3,Category 4,1
390,4,Category 5,1
391,4,Category 6,1
392,3,Category 7,1
393,1,Category 1,1
394,1,Category 2,1
395,2,Category 3,1
396,3,Category 4,1
397,4,Category 5,1
398,4,Category 6,1
399,3,Category 7,1
400,1,Category 1,1
401,1,Category 2,1
402,2,Category 3,1
403,3,Category 4,1
404,4,Category 5,1
405,4,Category 6,1
406,3,Category 7,1
407,1,Category 1,1
408,1,Category 2,1
409,2,Category 3,1
410,3,Category 4,1
411,4,Category 5,1
412,4,Category 6,1
413,3,Category 7,1
414,1,Category 1,1
415,1,Category 2,1
416,2,Category 3,1
417,3,Category 4,1
418,4,Category 5,1
419,4,Category 6,1
420,3,Category 7,1
421,1,Category 1,1
422,1,Category 2,1
423,2,Category 3,1
424,3,Category 4,1
425,4,Category 5,1
426,4,Category 6,1
427,3,Category 7,1
428,1,Category 1,1
429,1,Category 2,1
430,2,Category 3,1
431,3,Category 4,1
432,4,Category 5,1
433,4,Category 6,1
434,3,Category 7,1
435,1,Category 1,1
436,1,Category 2,1
437,2,Category 3,1
438,3,Category 4,1
439,4,Category 5,1
440,4,Category 6,1
441,3,Category 7,1
442,1,Category 1,1
443,1,Category 2,1
444,2,Category 3,1
445,3,Category 4,1
446,4,Category 5,1
447,4,Category 6,1
448,3,Category 7,1
449,1,Category 1,1
450,1,Category 2,1
451,2,Category 3,1
452,3,Category 4,1
453,4,Category 5,1
454,4,Category 6,1
455,3,Category 7,1
456,1,Category 1,1
457,1,Category 2,1
458,2,Category 3,1
459,3,Category 4,1
460,4,Category 5,1
461,4,Category 6,1
462,3,Category 7,1
463,1,Category 1,1
464,1,Category 2,1
465,2,Category 3,1
466,3,Category 4,1
467,4,Category 5,1
468,4,Category 6,1
469,3,Category 7,1
470,1,Category 1,1
471,1,Category 2,1
472,2,Category 3,1
473,3,Category 4,1
474,4,Category 5,1
475,4,Category 6,1
476,3,Category 7,1
477,1,Category 1,1
478,1,Category 2,1
479,2,Category 3,1
480,3,Category 4,1
481,4,Category 5,1
482,4,Category 6,1
483,3,Category 7,1
484,1,Category 1,1
485,1,Category 2,1
486,2,Category 3,1
487,3,Category 4,1
488,4,Category 5,1
489,4,Category 6,1
490,3,Category 7,1
491,1,Category 1,1
492,1,Category 2,1
493,2,Category 3,1
494,3,Category 4,1
495,4,Category 5,1
496,4,Category 6,1
497,3,Category 7,1
498,1,Category 1,1
499,1,Category 2,1
500,2,Category 3,1
501,3,Category 4,1
502,4,Category 5,1
503,4,Category 6,1
504,3,Category 7,1
505,1,Category 1,1
506,1,Category 2,1
507,2,Category 3,1
508,3,Category 4,1
509,4,Category 5,1
510,4,Category 6,1
511,3,Category 7,1
512,1,Category 1,1
513,1,Category 2,1
514,2,Category 3,1
515,3,Category 4,1
516,4,Category 5,1
517,4,Category 6,1
518,3,Category 7,1
519,1,Category 1,1
